State,Year,Month,Temperature
MT,2007,1,21.8
MT,2007,2,22
MT,2007,3,38.9
MT,2007,4,40.9
MT,2007,5,52.1
MT,2007,6,60.7
MT,2007,7,73.3
MT,2007,8,65.8
MT,2007,9,55
MT,2007,10,44.6
MT,2007,11,31.6
MT,2007,12,21.6
MT,2008,1,18.1
MT,2008,2,24.2
MT,2008,3,31.2
MT,2008,4,37.6
MT,2008,5,49.6
MT,2008,6,56.7
MT,2008,7,66.5
MT,2008,8,65.6
MT,2008,9,53.6
MT,2008,10,43.7
MT,2008,11,35.8
MT,2008,12,14
MT,2009,1,21.1
MT,2009,2,25.1
MT,2009,3,28.3
MT,2009,4,39.8
MT,2009,5,50.5
MT,2009,6,56.6
MT,2009,7,64.6
MT,2009,8,63.4
MT,2009,9,60.7
MT,2009,10,36.4
MT,2009,11,35.2
MT,2009,12,12
MT,2010,1,20.6
MT,2010,2,21.1
MT,2010,3,36.2
MT,2010,4,41.6
MT,2010,5,46.3
MT,2010,6,57.5
MT,2010,7,64.3
MT,2010,8,63.8
MT,2010,9,54.1
MT,2010,10,47.6
MT,2010,11,26.6
MT,2010,12,19
MT,2011,1,19.1
MT,2011,2,16.4
MT,2011,3,28.6
MT,2011,4,37.7
MT,2011,5,47.1
MT,2011,6,56.3
MT,2011,7,66.6
MT,2011,8,66.8
MT,2011,9,58.3
MT,2011,10,45.9
MT,2011,11,30
MT,2011,12,26.2
MT,2012,1,25.1
MT,2012,2,24.9
MT,2012,3,39.4
MT,2012,4,44.8
MT,2012,5,49.5
MT,2012,6,60.2
MT,2012,7,70.7
MT,2012,8,66.7
MT,2012,9,58.2
MT,2012,10,41
MT,2012,11,32.4
MT,2012,12,21.5
MT,2013,1,21.7
MT,2013,2,27.4
MT,2013,3,30.5
MT,2013,4,36.9
MT,2013,5,51.9
MT,2013,6,59
MT,2013,7,67.5
MT,2013,8,67.3
MT,2013,9,58.8
MT,2013,10,40.8
MT,2013,11,30.4
MT,2013,12,16.4
MT,2014,1,24.5
MT,2014,2,14.7
MT,2014,3,29.4
MT,2014,4,41
MT,2014,5,51.1
MT,2014,6,56.5
MT,2014,7,67.6
MT,2014,8,64.8
MT,2014,9,55.1
MT,2014,10,47.9
MT,2014,11,25.3
MT,2014,12,25
MT,2015,1,24.7
